TITLE,test
DATA TYPE,INFRARED SPECTRUM
ORIGIN,JASCO
OWNER,test
DATE,25/06/19
TIME,17:36:41
SPECTROMETER/DATA SYSTEM,
LOCALE,1041
RESOLUTION,
DELTAX,0.482117
XUNITS,1/CM
YUNITS,ABSORBANCE
FIRSTX,  999.9101
LASTX, 7000.3350
NPOINTS,   12447
FIRSTY,     0.48231
MAXY,     4.04303
MINY,     0.03693
XYDATA
999.9101,0.482313
1000.3922,0.481204
1000.8743,0.480139
1001.3564,0.479125
1001.8386,0.478172
1002.3207,0.477286
1002.8028,0.476467
1003.2849,0.475703
1003.7670,0.474969
1004.2491,0.474232
1004.7313,0.473459
1005.2134,0.472626
1005.6955,0.471727
1006.1776,0.47077
1006.6597,0.469769
1007.1418,0.468741
1007.6240,0.4677
1008.1061,0.466656
1008.5882,0.465617
1009.0703,0.464579
1009.5524,0.463531
1010.0345,0.462445
1010.5167,0.461295
1010.9988,0.460062
1011.4809,0.45875
1011.9630,0.457385
1012.4451,0.456003
1012.9272,0.454634
1013.4094,0.45329
1013.8915,0.451961
1014.3736,0.450625
1014.8557,0.449265
1015.3378,0.447875
1015.8199,0.446463
1016.3021,0.445045
1016.7842,0.44363
1017.2663,0.442221
1017.7484,0.440817
1018.2305,0.439414
1018.7126,0.438017
1019.1948,0.436636
1019.6769,0.43528
1020.1590,0.433957
1020.6411,0.432666
1021.1232,0.431402
1021.6053,0.430158
1022.0875,0.428931
1022.5696,0.427721
1023.0517,0.42653
1023.5338,0.425358
1024.0160,0.424206
1024.4980,0.423074
1024.9802,0.421963
1025.4623,0.420883
1025.9445,0.419846
1026.4265,0.418867
1026.9087,0.417955
1027.3907,0.417108
1027.8729,0.416316
1028.3550,0.415563
1028.8372,0.414835
1029.3192,0.414126
1029.8014,0.413448
1030.2834,0.412822
1030.7656,0.41227
1031.2477,0.411809
1031.7299,0.411438
1032.2119,0.411141
1032.6941,0.410894
1033.1761,0.41068
1033.6583,0.410489
1034.1404,0.410326
1034.6226,0.4102
1035.1046,0.410123
1035.5868,0.410105
1036.0688,0.410151
1036.5510,0.410266
1037.0331,0.410455
1037.5153,0.410725
1037.9973,0.41108
1038.4795,0.411525
1038.9615,0.412063
1039.4437,0.412702
1039.9258,0.413451
1040.4080,0.414324
1040.8900,0.415338
1041.3722,0.416506
1041.8542,0.417838
1042.3364,0.419336
1042.8185,0.420998
1043.3007,0.422821
1043.7827,0.424805
1044.2649,0.426962
1044.7469,0.429314
1045.2291,0.431889
1045.7112,0.434717
1046.1934,0.437823
1046.6754,0.44122
1047.1576,0.444911
1047.6396,0.448895
1048.1218,0.453184
1048.6039,0.457809
1049.0861,0.462823
1049.5681,0.468292
1050.0503,0.474272
1050.5323,0.480799
1051.0145,0.487883
1051.4966,0.495519
1051.9788,0.503713
1052.4608,0.512496
1052.9430,0.521932
1053.4250,0.532102
1053.9072,0.543084
1054.3893,0.554931
1054.8715,0.567667
1055.3535,0.581285
1055.8357,0.595757
1056.3177,0.611041
1056.7999,0.627076
1057.2820,0.643775
1057.7642,0.661014
1058.2462,0.678621
1058.7284,0.69637
1059.2104,0.713977
1059.6926,0.731104
1060.1747,0.747375
1060.6569,0.762386
1061.1389,0.775718
1061.6211,0.786943
1062.1031,0.795635
1062.5853,0.801401
1063.0674,0.803931
1063.5496,0.803064
1064.0316,0.798834
1064.5138,0.791475
1064.9958,0.781382
1065.4780,0.769048
1065.9601,0.755006
1066.4423,0.739795
1066.9243,0.723937
1067.4065,0.707934
1067.8885,0.692251
1068.3707,0.677302
1068.8528,0.663421
1069.3350,0.650857
1069.8170,0.639767
1070.2992,0.630233
1070.7813,0.622278
1071.2634,0.615886
1071.7455,0.611026
1072.2277,0.60766
1072.7097,0.60577
1073.1919,0.605356
1073.6740,0.606445
1074.1561,0.609073
1074.6382,0.613274
1075.1204,0.619066
1075.6024,0.626456
1076.0846,0.635449
1076.5667,0.646073
1077.0488,0.658377
1077.5309,0.672435
1078.0131,0.688336
1078.4951,0.706174
1078.9773,0.726057
1079.4594,0.748111
1079.9415,0.772478
1080.4236,0.799302
1080.9058,0.828704
1081.3878,0.860756
1081.8700,0.895487
1082.3521,0.93291
1082.8342,0.973061
1083.3163,1.01602
1083.7985,1.06191
1084.2805,1.11083
1084.7627,1.16281
1085.2448,1.21776
1085.7269,1.27544
1086.2090,1.33557
1086.6912,1.39787
1087.1732,1.46212
1087.6554,1.52814
1088.1375,1.59568
1088.6196,1.66417
1089.1017,1.73252
1089.5839,1.79908
1090.0659,1.86187
1090.5481,1.91914
1091.0302,1.96989
1091.5123,2.01398
1091.9944,2.05182
1092.4766,2.08372
1092.9586,2.1097
1093.4408,2.12951
1093.9229,2.14308
1094.4050,2.15059
1094.8871,2.1524
1095.3693,2.14876
1095.8513,2.13984
1096.3335,2.12595
1096.8156,2.10781
1097.2977,2.08649
1097.7798,2.06309
1098.2620,2.03825
1098.7440,2.01185
1099.2262,1.98312
1099.7083,1.95096
1100.1904,1.91453
1100.6725,1.87364
1101.1547,1.82886
1101.6367,1.78117
1102.1189,1.7315
1102.6010,1.68045
1103.0831,1.62822
1103.5652,1.57472
1104.0474,1.51987
1104.5294,1.46374
1105.0116,1.40656
1105.4937,1.34875
1105.9758,1.29079
1106.4579,1.23317
1106.9401,1.1764
1107.4221,1.12094
1107.9043,1.06719
1108.3864,1.01545
1108.8685,0.965897
1109.3506,0.918649
1109.8328,0.873767
1110.3148,0.831289
1110.7970,0.791243
1111.2791,0.753639
1111.7612,0.718463
1112.2433,0.685665
1112.7255,0.655166
1113.2075,0.626861
1113.6897,0.600626
1114.1718,0.576329
1114.6539,0.553828
1115.1360,0.532987
