TITLE,test
DATA TYPE,INFRARED SPECTRUM
ORIGIN,JASCO
OWNER,test
DATE,26/02/12
TIME,12:28:58
SPECTROMETER/DATA SYSTEM,
LOCALE,1041
RESOLUTION,
DELTAX,1.92847
XUNITS,1/CM
YUNITS,INTENSITY
FIRSTX,  998.9459
LASTX, 6001.3891
NPOINTS,    2595
FIRSTY,    37.79730
MAXY,    64.17134
MINY,     2.67769
XYDATA
998.9459,37.7973
1000.8743,37.8586
1002.8028,37.8848
1004.7313,37.8732
1006.6597,37.8219
1008.5882,37.7314
1010.5167,37.6061
1012.4451,37.4543
1014.3736,37.2865
1016.3021,37.1135
1018.2305,36.9436
1020.1590,36.7813
1022.0875,36.6275
1024.0160,36.4804
1025.9445,36.3371
1027.8729,36.1949
1029.8014,36.0512
1031.7299,35.9042
1033.6583,35.752
1035.5868,35.5934
1037.5153,35.428
1039.4437,35.2567
1041.3722,35.0814
1043.3007,34.904
1045.2291,34.726
1047.1576,34.5472
1049.0861,34.367
1051.0145,34.1839
1052.9430,33.9975
1054.8715,33.8084
1056.7999,33.6187
1058.7284,33.4313
1060.6569,33.2497
1062.5853,33.0774
1064.5138,32.917
1066.4423,32.7704
1068.3707,32.6382
1070.2992,32.521
1072.2277,32.4189
1074.1561,32.3333
1076.0846,32.2661
1078.0131,32.2198
1079.9415,32.1965
1081.8700,32.1972
1083.7985,32.2217
1085.7269,32.2693
1087.6554,32.3389
1089.5839,32.4305
1091.5123,32.5441
1093.4408,32.6803
1095.3693,32.8392
1097.2977,33.0204
1099.2262,33.2234
1101.1547,33.4476
1103.0831,33.692
1105.0116,33.956
1106.9401,34.2387
1108.8685,34.5393
1110.7970,34.8566
1112.7255,35.1889
1114.6539,35.5343
1116.5824,35.8909
1118.5109,36.2567
1120.4393,36.6296
1122.3678,37.0073
1124.2963,37.3875
1126.2247,37.7674
1128.1532,38.1451
1130.0817,38.5189
1132.0101,38.8883
1133.9386,39.2535
1135.8671,39.6147
1137.7955,39.9717
1139.7240,40.3238
1141.6525,40.6706
1143.5809,41.0125
1145.5094,41.3516
1147.4379,41.6907
1149.3663,42.0326
1151.2948,42.3782
1153.2233,42.7263
1155.1517,43.074
1157.0802,43.4184
1159.0087,43.758
1160.9371,44.0926
1162.8656,44.4225
1164.7941,44.7476
1166.7225,45.0668
1168.6510,45.3793
1170.5795,45.6851
1172.5079,45.9865
1174.4364,46.2878
1176.3649,46.5933
1178.2933,46.9068
1180.2218,47.2295
1182.1503,47.5602
1184.0787,47.8951
1186.0072,48.2293
1187.9357,48.5571
1189.8641,48.8742
1191.7926,49.1788
1193.7211,49.4724
1195.6495,49.7589
1197.5780,50.043
1199.5065,50.3272
1201.4349,50.6109
1203.3634,50.891
1205.2919,51.1648
1207.2203,51.4325
1209.1488,51.6982
1211.0773,51.9677
1213.0057,52.2454
1214.9342,52.5314
1216.8627,52.8223
1218.7911,53.1141
1220.7196,53.4054
1222.6481,53.6984
1224.5765,53.9967
1226.5050,54.3029
1228.4335,54.6157
1230.3619,54.9305
1232.2904,55.2403
1234.2189,55.5381
1236.1473,55.8185
1238.0758,56.0795
1240.0043,56.3225
1241.9327,56.551
1243.8612,56.7657
1245.7897,56.9579
1247.7181,57.1067
1249.6466,57.1839
1251.5751,57.1683
1253.5035,57.062
1255.4320,56.9014
1257.3605,56.7509
1259.2889,56.6827
1261.2174,56.7495
1263.1459,56.9658
1265.0743,57.307
1267.0028,57.7241
1268.9313,58.1647
1270.8597,58.5884
1272.7882,58.9687
1274.7167,59.2882
1276.6451,59.533
1278.5736,59.6939
1280.5021,59.7721
1282.4305,59.7827
1284.3590,59.7534
1286.2875,59.7148
1288.2159,59.6907
1290.1444,59.6909
1292.0729,59.7111
1294.0013,59.7382
1295.9298,59.7577
1297.8583,59.7599
1299.7867,59.7416
1301.7152,59.7009
1303.6437,59.6296
1305.5721,59.5094
1307.5006,59.3201
1309.4291,59.0562
1311.3575,58.7436
1313.2860,58.4393
1315.2145,58.2127
1317.1429,58.1176
1319.0714,58.1723
1320.9999,58.3566
1322.9283,58.618
1324.8568,58.876
1326.7853,59.024
1328.7137,58.9466
1330.6422,58.5651
1332.5707,57.8982
1334.4991,57.0945
1336.4276,56.3964
1338.3561,56.0358
1340.2845,56.1198
1342.2130,56.5811
1344.1415,57.2235
1346.0699,57.8266
1347.9984,58.2319
1349.9269,58.363
1351.8553,58.1952
1353.7838,57.7324
1355.7123,57.0267
1357.6407,56.2114
1359.5692,55.4885
1361.4977,55.0417
1363.4261,54.9276
1365.3546,55.0344
1367.2831,55.1581
1369.2115,55.1486
1371.1400,55.0145
1373.0685,54.9003
1374.9969,54.9579
1376.9254,55.2132
1378.8539,55.534
1380.7823,55.7135
1382.7108,55.5951
1384.6393,55.1425
1386.5677,54.4241
1388.4962,53.5508
1390.4247,52.6357
1392.3531,51.7979
1394.2816,51.1803
1396.2101,50.9353
1398.1385,51.1716
1400.0670,51.897
1401.9955,52.9968
1403.9240,54.2549
1405.8524,55.3939
1407.7809,56.1184
1409.7094,56.1738
1411.6378,55.4399
1413.5663,54.038
1415.4948,52.3736
1417.4232,51.0353
1419.3517,50.5477
1421.2802,51.0956
1423.2086,52.3911
1425.1371,53.7983
1427.0656,54.6636
1428.9940,54.6644
1430.9225,53.9655
1432.8510,53.0978
1434.7794,52.6476
1436.7079,52.9532
1438.6364,53.9703
1440.5648,55.3411
1442.4933,56.5752
1444.4218,57.2198
1446.3502,56.9604
1448.2787,55.6736
1450.2072,53.4798
1452.1356,50.7928
1454.0641,48.2905
1455.9926,46.732
1457.9210,46.6391
1459.8495,47.9922
1461.7780,50.1473
1463.7064,52.0913
