TITLE,test
DATA TYPE,INFRARED SPECTRUM
ORIGIN,JASCO
OWNER,test
DATE,26/02/12
TIME,12:27:47
SPECTROMETER/DATA SYSTEM,
LOCALE,1041
RESOLUTION,
DELTAX,1.92847
XUNITS,1/CM
YUNITS,REFLECTANCE
FIRSTX,  998.9459
LASTX, 6001.3891
NPOINTS,    2595
FIRSTY,   100.11481
MAXY,   100.17418
MINY,    99.96335
XYDATA
998.9459,100.115
1000.8743,100.118
1002.8028,100.12
1004.7313,100.122
1006.6597,100.123
1008.5882,100.121
1010.5167,100.118
1012.4451,100.113
1014.3736,100.108
1016.3021,100.106
1018.2305,100.107
1020.1590,100.112
1022.0875,100.119
1024.0160,100.124
1025.9445,100.126
1027.8729,100.126
1029.8014,100.125
1031.7299,100.126
1033.6583,100.129
1035.5868,100.134
1037.5153,100.138
1039.4437,100.14
1041.3722,100.138
1043.3007,100.135
1045.2291,100.132
1047.1576,100.132
1049.0861,100.135
1051.0145,100.14
1052.9430,100.145
1054.8715,100.148
1056.7999,100.147
1058.7284,100.145
1060.6569,100.143
1062.5853,100.142
1064.5138,100.145
1066.4423,100.151
1068.3707,100.158
1070.2992,100.166
1072.2277,100.171
1074.1561,100.174
1076.0846,100.174
1078.0131,100.172
1079.9415,100.169
1081.8700,100.164
1083.7985,100.161
1085.7269,100.158
1087.6554,100.156
1089.5839,100.155
1091.5123,100.154
1093.4408,100.153
1095.3693,100.152
1097.2977,100.152
1099.2262,100.154
1101.1547,100.157
1103.0831,100.162
1105.0116,100.165
1106.9401,100.166
1108.8685,100.164
1110.7970,100.159
1112.7255,100.154
1114.6539,100.15
1116.5824,100.15
1118.5109,100.151
1120.4393,100.153
1122.3678,100.154
1124.2963,100.153
1126.2247,100.15
1128.1532,100.147
1130.0817,100.144
1132.0101,100.142
1133.9386,100.142
1135.8671,100.143
1137.7955,100.144
1139.7240,100.143
1141.6525,100.141
1143.5809,100.139
1145.5094,100.137
1147.4379,100.137
1149.3663,100.138
1151.2948,100.14
1153.2233,100.141
1155.1517,100.141
1157.0802,100.139
1159.0087,100.138
1160.9371,100.137
1162.8656,100.137
1164.7941,100.137
1166.7225,100.137
1168.6510,100.137
1170.5795,100.134
1172.5079,100.131
1174.4364,100.126
1176.3649,100.122
1178.2933,100.119
1180.2218,100.117
1182.1503,100.116
1184.0787,100.116
1186.0072,100.117
1187.9357,100.117
1189.8641,100.116
1191.7926,100.115
1193.7211,100.115
1195.6495,100.115
1197.5780,100.116
1199.5065,100.117
1201.4349,100.118
1203.3634,100.118
1205.2919,100.116
1207.2203,100.114
1209.1488,100.112
1211.0773,100.112
1213.0057,100.112
1214.9342,100.113
1216.8627,100.113
1218.7911,100.113
1220.7196,100.111
1222.6481,100.109
1224.5765,100.108
1226.5050,100.108
1228.4335,100.109
1230.3619,100.111
1232.2904,100.113
1234.2189,100.114
1236.1473,100.115
1238.0758,100.113
1240.0043,100.109
1241.9327,100.105
1243.8612,100.102
1245.7897,100.101
1247.7181,100.101
1249.6466,100.103
1251.5751,100.104
1253.5035,100.104
1255.4320,100.103
1257.3605,100.101
1259.2889,100.099
1261.2174,100.097
1263.1459,100.096
1265.0743,100.096
1267.0028,100.096
1268.9313,100.096
1270.8597,100.096
1272.7882,100.097
1274.7167,100.097
1276.6451,100.098
1278.5736,100.098
1280.5021,100.097
1282.4305,100.096
1284.3590,100.095
1286.2875,100.095
1288.2159,100.096
1290.1444,100.098
1292.0729,100.099
1294.0013,100.1
1295.9298,100.1
1297.8583,100.1
1299.7867,100.099
1301.7152,100.099
1303.6437,100.099
1305.5721,100.098
1307.5006,100.097
1309.4291,100.095
1311.3575,100.094
1313.2860,100.092
1315.2145,100.091
1317.1429,100.091
1319.0714,100.091
1320.9999,100.092
1322.9283,100.093
1324.8568,100.094
1326.7853,100.094
1328.7137,100.094
1330.6422,100.094
1332.5707,100.094
1334.4991,100.094
1336.4276,100.093
1338.3561,100.093
1340.2845,100.093
1342.2130,100.095
1344.1415,100.096
1346.0699,100.097
1347.9984,100.098
1349.9269,100.098
1351.8553,100.097
1353.7838,100.096
1355.7123,100.096
1357.6407,100.095
1359.5692,100.096
1361.4977,100.097
1363.4261,100.098
1365.3546,100.1
1367.2831,100.1
1369.2115,100.1
1371.1400,100.099
1373.0685,100.098
1374.9969,100.098
1376.9254,100.098
1378.8539,100.1
1380.7823,100.102
1382.7108,100.104
1384.6393,100.105
1386.5677,100.103
1388.4962,100.1
1390.4247,100.097
1392.3531,100.094
1394.2816,100.093
1396.2101,100.092
1398.1385,100.093
1400.0670,100.094
1401.9955,100.095
1403.9240,100.097
1405.8524,100.099
1407.7809,100.1
1409.7094,100.1
1411.6378,100.098
1413.5663,100.095
1415.4948,100.091
1417.4232,100.088
1419.3517,100.086
1421.2802,100.086
1423.2086,100.087
1425.1371,100.088
1427.0656,100.088
1428.9940,100.087
1430.9225,100.087
1432.8510,100.087
1434.7794,100.089
1436.7079,100.09
1438.6364,100.092
1440.5648,100.092
1442.4933,100.092
1444.4218,100.092
1446.3502,100.09
1448.2787,100.088
1450.2072,100.086
1452.1356,100.083
1454.0641,100.08
1455.9926,100.079
1457.9210,100.079
1459.8495,100.08
1461.7780,100.083
1463.7064,100.084
1465.6349,100.085
1467.5634,100.084
1469.4918,100.083
1471.4203,100.081
1473.3488,100.081
1475.2772,100.083
1477.2057,100.085
1479.1342,100.088
1481.0626,100.088
1482.9911,100.088
1484.9196,100.085
1486.8480,100.082
1488.7765,100.079
1490.7050,100.076
1492.6334,100.073
1494.5619,100.072
1496.4904,100.07
1498.4188,100.067
1500.3473,100.063
1502.2758,100.058
1504.2042,100.053
1506.1327,100.049
