TITLE,test
DATA TYPE,INFRARED SPECTRUM
ORIGIN,JASCO
OWNER,test
DATE,26/02/12
TIME,12:35:27
SPECTROMETER/DATA SYSTEM,
LOCALE,1041
RESOLUTION,
DELTAX,1.92847
XUNITS,1/CM
YUNITS,TRANSMITTANCE
FIRSTX,  998.9459
LASTX, 6001.3891
NPOINTS,    2595
FIRSTY,   153.61505
MAXY,   345.14767
MINY,   142.47850
XYDATA
998.9459,153.615
1000.8743,152.728
1002.8028,151.859
1004.7313,151.084
1006.6597,150.428
1008.5882,149.868
1010.5167,149.349
1012.4451,148.81
1014.3736,148.209
1016.3021,147.543
1018.2305,146.842
1020.1590,146.161
1022.0875,145.562
1024.0160,145.097
1025.9445,144.796
1027.8729,144.667
1029.8014,144.69
1031.7299,144.83
1033.6583,145.039
1035.5868,145.271
1037.5153,145.489
1039.4437,145.672
1041.3722,145.812
1043.3007,145.914
1045.2291,145.99
1047.1576,146.053
1049.0861,146.122
1051.0145,146.212
1052.9430,146.342
1054.8715,146.531
1056.7999,146.794
1058.7284,147.141
1060.6569,147.579
1062.5853,148.107
1064.5138,148.721
1066.4423,149.413
1068.3707,150.177
1070.2992,151.002
1072.2277,151.877
1074.1561,152.785
1076.0846,153.71
1078.0131,154.632
1079.9415,155.535
1081.8700,156.404
1083.7985,157.231
1085.7269,158.013
1087.6554,158.749
1089.5839,159.439
1091.5123,160.085
1093.4408,160.686
1095.3693,161.239
1097.2977,161.741
1099.2262,162.191
1101.1547,162.592
1103.0831,162.949
1105.0116,163.267
1106.9401,163.549
1108.8685,163.794
1110.7970,163.996
1112.7255,164.151
1114.6539,164.259
1116.5824,164.325
1118.5109,164.358
1120.4393,164.367
1122.3678,164.357
1124.2963,164.325
1126.2247,164.267
1128.1532,164.176
1130.0817,164.051
1132.0101,163.894
1133.9386,163.712
1135.8671,163.514
1137.7955,163.306
1139.7240,163.093
1141.6525,162.877
1143.5809,162.66
1145.5094,162.441
1147.4379,162.224
1149.3663,162.01
1151.2948,161.801
1153.2233,161.6
1155.1517,161.407
1157.0802,161.224
1159.0087,161.048
1160.9371,160.881
1162.8656,160.722
1164.7941,160.575
1166.7225,160.443
1168.6510,160.327
1170.5795,160.224
1172.5079,160.131
1174.4364,160.043
1176.3649,159.96
1178.2933,159.885
1180.2218,159.821
1182.1503,159.773
1184.0787,159.74
1186.0072,159.718
1187.9357,159.701
1189.8641,159.686
1191.7926,159.672
1193.7211,159.662
1195.6495,159.658
1197.5780,159.661
1199.5065,159.669
1201.4349,159.681
1203.3634,159.696
1205.2919,159.715
1207.2203,159.741
1209.1488,159.774
1211.0773,159.816
1213.0057,159.868
1214.9342,159.928
1216.8627,159.996
1218.7911,160.071
1220.7196,160.152
1222.6481,160.238
1224.5765,160.323
1226.5050,160.404
1228.4335,160.474
1230.3619,160.527
1232.2904,160.559
1234.2189,160.568
1236.1473,160.552
1238.0758,160.512
1240.0043,160.446
1241.9327,160.354
1243.8612,160.234
1245.7897,160.088
1247.7181,159.916
1249.6466,159.726
1251.5751,159.522
1253.5035,159.308
1255.4320,159.085
1257.3605,158.85
1259.2889,158.6
1261.2174,158.336
1263.1459,158.06
1265.0743,157.779
1267.0028,157.501
1268.9313,157.233
1270.8597,156.98
1272.7882,156.746
1274.7167,156.532
1276.6451,156.341
1278.5736,156.171
1280.5021,156.02
1282.4305,155.887
1284.3590,155.77
1286.2875,155.667
1288.2159,155.579
1290.1444,155.506
1292.0729,155.448
1294.0013,155.402
1295.9298,155.369
1297.8583,155.348
1299.7867,155.339
1301.7152,155.343
1303.6437,155.361
1305.5721,155.391
1307.5006,155.433
1309.4291,155.486
1311.3575,155.546
1313.2860,155.609
1315.2145,155.671
1317.1429,155.729
1319.0714,155.782
1320.9999,155.831
1322.9283,155.876
1324.8568,155.922
1326.7853,155.976
1328.7137,156.046
1330.6422,156.139
1332.5707,156.257
1334.4991,156.391
1336.4276,156.521
1338.3561,156.628
1340.2845,156.7
1342.2130,156.741
1344.1415,156.766
1346.0699,156.792
1347.9984,156.829
1349.9269,156.884
1351.8553,156.962
1353.7838,157.068
1355.7123,157.201
1357.6407,157.352
1359.5692,157.497
1361.4977,157.616
1363.4261,157.698
1365.3546,157.757
1367.2831,157.814
1369.2115,157.887
1371.1400,157.971
1373.0685,158.05
1374.9969,158.108
1376.9254,158.143
1378.8539,158.174
1380.7823,158.225
1382.7108,158.309
1384.6393,158.427
1386.5677,158.571
1388.4962,158.73
1390.4247,158.894
1392.3531,159.054
1394.2816,159.196
1396.2101,159.3
1398.1385,159.35
1400.0670,159.343
1401.9955,159.293
1403.9240,159.224
1405.8524,159.167
1407.7809,159.15
1409.7094,159.2
1411.6378,159.332
1413.5663,159.544
1415.4948,159.799
1417.4232,160.028
1419.3517,160.154
1421.2802,160.147
1423.2086,160.052
1425.1371,159.955
1427.0656,159.927
1428.9940,159.992
1430.9225,160.126
1432.8510,160.275
1434.7794,160.378
1436.7079,160.404
1438.6364,160.365
1440.5648,160.304
1442.4933,160.26
1444.4218,160.263
1446.3502,160.336
1448.2787,160.499
1450.2072,160.766
1452.1356,161.129
1454.0641,161.523
1455.9926,161.828
1457.9210,161.925
1459.8495,161.8
1461.7780,161.57
1463.7064,161.387
1465.6349,161.351
1467.5634,161.48
1469.4918,161.716
1471.4203,161.939
1473.3488,162.02
1475.2772,161.92
1477.2057,161.719
1479.1342,161.543
1481.0626,161.478
1482.9911,161.551
1484.9196,161.745
1486.8480,162.009
1488.7765,162.273
1490.7050,162.47
1492.6334,162.572
1494.5619,162.61
1496.4904,162.66
1498.4188,162.799
1500.3473,163.08
1502.2758,163.497
1504.2042,163.965
1506.1327,164.327
