TITLE,MoSe2
DATA TYPE,RAMAN SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,26/01/20
TIME,16:25:39
SPECTROMETER/DATA SYSTEM,
LOCALE,1041
XUNITS,1/CM
YUNITS,INTENSITY
FIRSTX,   91.5759
LASTX,  754.4042
NPOINTS,    1024
XYDATA
91.5759,175
92.2948,174.5
93.0134,174.5
93.7320,175.5
94.4503,174.5
95.1686,175.5
95.8867,173.5
96.6046,173.5
97.3224,174.5
98.0400,173
98.7575,174.5
99.4749,174
100.1921,174.5
100.9091,174
101.6260,174.5
102.3428,174.5
103.0594,174.5
103.7758,172
104.4922,174
105.2083,175
105.9244,174.5
106.6402,174
107.3560,176
108.0715,175.5
108.7870,174
109.5023,174.5
110.2174,174.5
110.9324,174.5
111.6473,175
112.3620,174
113.0765,173.5
113.7909,174.5
114.5052,174
115.2193,174.5
115.9333,175.5
116.6471,175
117.3608,173.5
118.0743,175.5
118.7877,174
119.5009,174
120.2140,175.5
120.9269,175.5
121.6397,174.5
122.3524,175
123.0649,175
123.7773,176
124.4895,176
125.2015,176.5
125.9135,176.5
126.6252,176
127.3369,176.5
128.0483,176.5
128.7597,174.5
129.4709,176.5
130.1819,176
130.8928,177.5
131.6035,177.5
132.3142,176
133.0246,176.5
133.7349,177
134.4451,177
135.1551,177.5
135.8650,178
136.5747,178
137.2843,178
137.9937,179.5
138.7030,178
139.4122,178.5
140.1212,178
140.8300,179.5
141.5388,180
142.2473,181
142.9557,180.5
143.6640,180.5
144.3721,179.5
145.0801,181
145.7880,182.5
146.4957,179.5
147.2032,180
147.9106,180.5
148.6179,181
149.3250,181
150.0320,181
150.7388,181
151.4454,180.5
152.1520,179
152.8584,179.5
153.5646,179.5
154.2707,179
154.9766,179.5
155.6824,179
156.3881,176
157.0936,176.5
157.7990,178
158.5042,178
159.2093,177.5
159.9142,177.5
160.6190,178
161.3237,177.5
162.0282,176.5
162.7325,178
163.4367,175.5
164.1408,177
164.8447,175.5
165.5485,175.5
166.2521,176
166.9556,176.5
167.6590,177
168.3622,176.5
169.0652,176.5
169.7681,176.5
170.4709,176.5
171.1735,176.5
171.8760,176
172.5783,175.5
173.2805,177
173.9825,177
174.6844,177.5
175.3862,177
176.0878,176
176.7893,178
177.4906,176.5
178.1918,176.5
178.8928,176.5
179.5937,175.5
180.2944,175
180.9950,177
181.6955,175
182.3958,176
183.0960,175.5
183.7960,174.5
184.4959,176.5
185.1956,175
185.8952,174.5
186.5947,176.5
187.2940,176
187.9931,176
188.6922,176.5
189.3910,176
190.0898,176.5
190.7883,176
191.4868,175
192.1851,174
192.8833,176.5
193.5813,176
194.2791,176.5
194.9769,175.5
195.6744,176.5
196.3719,176.5
197.0692,175.5
197.7663,175.5
198.4633,176.5
199.1602,175
199.8569,175.5
200.5535,175.5
201.2499,175
201.9462,176
202.6424,176
203.3384,176
204.0342,175
204.7299,176.5
205.4255,176.5
206.1210,176
206.8162,176.5
207.5114,176
208.2064,177
208.9013,176.5
209.5960,177
210.2905,176
210.9850,174.5
211.6793,175.5
212.3734,176.5
213.0674,176
213.7613,176.5
214.4550,175.5
215.1486,177
215.8420,176
216.5353,176.5
217.2284,175.5
217.9214,177.5
218.6143,176
219.3070,177
219.9996,176
220.6920,177
221.3843,175
222.0764,177.5
222.7684,176.5
