TITLE,MoSe2
DATA TYPE,RAMAN SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,26/01/20
TIME,16:29:21
SPECTROMETER/DATA SYSTEM,
LOCALE,1041
XUNITS,1/CM
YUNITS,INTENSITY
FIRSTX,   91.5759
LASTX,  754.4042
NPOINTS,    1024
XYDATA
91.5759,173.5
92.2948,175.5
93.0134,174.5
93.7320,174.5
94.4503,175
95.1686,174
95.8867,174
96.6046,173.5
97.3224,174
98.0400,174
98.7575,173.5
99.4749,174.5
100.1921,173
100.9091,174.5
101.6260,174.5
102.3428,172.5
103.0594,174
103.7758,174
104.4922,174.5
105.2083,175
105.9244,175
106.6402,174.5
107.3560,174
108.0715,174.5
108.7870,174.5
109.5023,174
110.2174,174
110.9324,173.5
111.6473,173
112.3620,174
113.0765,174.5
113.7909,173
114.5052,176.5
115.2193,173.5
115.9333,174.5
116.6471,174.5
117.3608,175
118.0743,174.5
118.7877,175.5
119.5009,176.5
120.2140,175.5
120.9269,174.5
121.6397,175.5
122.3524,176
123.0649,177
123.7773,176
124.4895,174.5
125.2015,175.5
125.9135,174
126.6252,175.5
127.3369,176
128.0483,174.5
128.7597,174.5
129.4709,177.5
130.1819,176
130.8928,177.5
131.6035,177
132.3142,176.5
133.0246,177.5
133.7349,177.5
134.4451,176.5
135.1551,175
135.8650,177.5
136.5747,177.5
137.2843,177.5
137.9937,178
138.7030,179
139.4122,178.5
140.1212,179
140.8300,179.5
141.5388,179.5
142.2473,179.5
142.9557,180
143.6640,179.5
144.3721,180.5
145.0801,179.5
145.7880,180
146.4957,180.5
147.2032,180.5
147.9106,181.5
148.6179,180
149.3250,180.5
150.0320,180.5
150.7388,180
151.4454,180
152.1520,179
152.8584,179
153.5646,178.5
154.2707,178
154.9766,177.5
155.6824,178.5
156.3881,178.5
157.0936,176.5
157.7990,177.5
158.5042,176.5
159.2093,176.5
159.9142,178
160.6190,177
161.3237,176
162.0282,176
162.7325,177
163.4367,176
164.1408,176.5
164.8447,176.5
165.5485,177
166.2521,175.5
166.9556,175.5
167.6590,175.5
168.3622,177.5
169.0652,175.5
169.7681,175.5
170.4709,176
171.1735,176
171.8760,176
172.5783,176
173.2805,178
173.9825,176.5
174.6844,173.5
175.3862,177.5
176.0878,176.5
176.7893,174
177.4906,175
178.1918,175
178.8928,173.5
179.5937,175.5
180.2944,174.5
180.9950,175.5
181.6955,175.5
182.3958,176
183.0960,175
183.7960,175.5
184.4959,174
185.1956,176.5
185.8952,174
186.5947,175.5
187.2940,173.5
187.9931,173.5
188.6922,176
189.3910,175
190.0898,174
190.7883,176.5
191.4868,175.5
192.1851,175
192.8833,175
193.5813,176
194.2791,175
194.9769,175.5
195.6744,175
196.3719,174.5
197.0692,175
197.7663,174.5
198.4633,176.5
199.1602,175
199.8569,175
200.5535,175
201.2499,175.5
201.9462,176
202.6424,173.5
203.3384,175.5
204.0342,175
204.7299,175.5
205.4255,175
206.1210,175
206.8162,176
207.5114,175.5
208.2064,175
208.9013,175
209.5960,175.5
210.2905,175.5
210.9850,175.5
211.6793,176.5
212.3734,176.5
213.0674,176
213.7613,175
214.4550,175.5
215.1486,176
215.8420,176
216.5353,176
217.2284,175
217.9214,177
218.6143,175.5
219.3070,175.5
219.9996,174.5
220.6920,175.5
221.3843,176
222.0764,176.5
222.7684,177
