TITLE,C2
DATA TYPE,RAMAN SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,24/12/03
TIME,18:17:53
SPECTROMETER/DATA SYSTEM,
LOCALE,1041
XUNITS,1/CM
YUNITS,INTENSITY
FIRSTX,  545.6195
LASTX, 1597.8412
NPOINTS,    1024
XYDATA
545.6195,645.5
546.7624,651
547.9051,648
549.0475,658.5
550.1897,662.5
551.3317,675.5
552.4734,684
553.6149,679.5
554.7560,676
555.8970,655
557.0378,656.5
558.1783,646
559.3185,649
560.4585,656
561.5983,646.5
562.7378,649
563.8771,642
565.0161,652
566.1549,641.55
567.2935,641.55
568.4318,643.557
569.5698,649.581
570.7076,643
571.8452,642.5
572.9825,646.5
574.1196,640
575.2565,645
576.3931,649
577.5294,638.5
578.6655,639.5
579.8015,638
580.9371,644
582.0724,634
583.2076,644.5
584.3425,638
585.4772,640
586.6116,644
587.7458,631.5
588.8798,636.5
590.0135,643
591.1469,638
592.2802,632
593.4131,646
594.5458,635
595.6783,633
596.8106,634
597.9426,647
599.0744,636.5
600.2059,633
601.3372,645
602.4683,646.5
603.5991,641
604.7297,645
605.8600,638.5
606.9901,643
608.1199,639.5
609.2495,644
610.3789,643
611.5080,639
612.6369,641.5
613.7656,640.5
614.8940,637
616.0221,638.5
617.1500,638
618.2777,633
619.4052,623.5
620.5324,630.5
621.6594,629
622.7861,628.5
623.9125,622.5
625.0388,632
626.1648,630
627.2906,627.5
628.4161,629.5
629.5414,617
630.6664,633
631.7913,631
632.9158,624
634.0402,629.5
635.1642,637.5
636.2881,630.5
637.4117,641.5
638.5351,633.5
639.6583,636.5
640.7811,648
641.9038,653.5
643.0262,666.5
644.1484,659
645.2704,657.5
646.3921,648.5
647.5135,649.5
648.6348,636.5
649.7558,643.5
650.8765,646.5
651.9971,641.5
653.1173,647
654.2374,640
655.3572,638.5
656.4767,648.5
657.5961,635
658.7151,638.5
659.8340,640.5
660.9526,651.5
662.0710,659
663.1891,648.5
664.3070,651.5
665.4247,655
666.5421,657
667.6593,672
668.7762,670
669.8930,672.5
671.0095,665.5
672.1257,658.5
673.2417,649.5
674.3575,643.5
675.4730,635.5
676.5883,645
677.7034,634.5
678.8182,628.5
679.9328,618
681.0471,625.5
682.1613,612
683.2751,608
684.3887,611.5
685.5021,602.5
686.6154,601.5
687.7283,600.5
688.8409,595
689.9534,597
691.0657,593
692.1776,583.5
693.2894,585.5
694.4009,591.5
695.5122,583
696.6232,577.5
697.7341,573
698.8446,577.5
699.9550,572
701.0651,583
702.1749,574.5
703.2845,575
704.3940,570.5
705.5031,570.5
706.6121,574
707.7208,571.5
708.8292,568.5
709.9374,575
711.0454,571.5
712.1532,571
713.2607,575.5
714.3680,566
715.4750,571.5
716.5818,573
717.6884,570
718.7948,571.5
719.9009,572.5
721.0068,568.5
722.1124,570.5
723.2178,566.5
724.3230,567
725.4279,570
726.5327,567
727.6371,568
728.7414,561
729.8454,562
730.9492,569.5
732.0527,575
733.1560,566
734.2591,570
735.3619,562.5
736.4645,573
737.5669,565
738.6690,575
739.7709,566.5
740.8726,566
741.9741,564.5
743.0753,566.5
744.1762,573.5
745.2770,563.5
746.3775,572.5
747.4778,565.246
748.5778,571.5
749.6776,569
750.7772,561.5
751.8765,557
752.9756,565.5
754.0745,560.5
755.1732,558.5
756.2716,565
