TITLE,G1-1
DATA TYPE,RAMAN SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,25/03/17
TIME,14:03:06
SPECTROMETER/DATA SYSTEM,
LOCALE,1041
XUNITS,1/CM
YUNITS,INTENSITY
FIRSTX,  545.3755
LASTX, 1597.6329
NPOINTS,    1024
XYDATA
545.3755,309
546.5185,310
547.6613,308
548.8037,308
549.9459,313
551.0880,313
552.2297,323
553.3712,329
554.5125,326
555.6534,319
556.7943,312.5
557.9348,306
559.0750,312
560.2151,307
561.3549,306
562.4944,307
563.6337,312
564.7728,309
565.9117,310
567.0502,310
568.1886,310
569.3267,305
570.4645,310
571.6022,310
572.7395,312
573.8766,308
575.0135,310
576.1502,315
577.2866,308
578.4227,308
579.5587,309
580.6943,309
581.8298,302
582.9650,310
584.0999,307
585.2346,304
586.3691,310
587.5033,304
588.6373,308
589.7711,311
590.9045,306
592.0378,305
593.1708,303
594.3036,304
595.4362,303
596.5684,306
597.7005,309
598.8323,304
599.9639,302
601.0952,305
602.2263,304
603.3571,307
604.4877,307
605.6181,308
606.7482,304
607.8781,305
609.0078,306
610.1372,308
611.2664,305
612.3953,306
613.5239,307
614.6524,305
615.7806,308
616.9086,305
618.0363,302
619.1638,307
620.2910,304
621.4180,304
622.5448,299
623.6713,303
624.7976,302
625.9236,305
627.0494,305
628.1750,299
629.3004,303
630.4254,304
631.5503,305
632.6749,304
633.7993,304
634.9234,303
636.0473,305
637.1710,305
638.2944,303
639.4175,310
640.5405,310
641.6632,311
642.7856,311
643.9079,323
645.0298,321
646.1516,312
647.2731,311
648.3944,313
649.5154,313
650.6362,316
651.7568,313
652.8771,314
653.9971,314
655.1170,309
656.2366,308
657.3560,307
658.4751,310
659.5940,302
660.7126,308
661.8311,309
662.9492,308
664.0672,305
665.1849,313
666.3024,307
667.4196,309
668.5366,311
669.6533,307
670.7698,314
671.8861,307
673.0021,304
674.1180,307
675.2335,304
676.3489,302
677.4640,297
678.5789,296
679.6935,299
680.8079,299
681.9220,296
683.0359,294
684.1496,294
685.2631,301
686.3762,297
687.4892,296
688.6019,292
689.7144,290
690.8267,290
691.9387,290
693.0505,289
694.1620,286
695.2734,287
696.3845,290
697.4953,289
698.6060,287
699.7163,293
700.8265,289
701.9363,289
703.0460,283
704.1555,287
705.2647,284
706.3737,287
707.4824,285
708.5909,283
709.6992,287
710.8072,281
711.9150,284
713.0225,285
714.1298,282
715.2369,292
716.3438,287
717.4504,287
718.5568,280
719.6630,290
720.7689,284
721.8745,281
722.9800,282
724.0852,289
725.1902,288
726.2949,288
727.3994,283
728.5037,286
729.6078,282
730.7115,288
731.8151,283
732.9185,283
734.0216,282
735.1245,287
736.2271,281
737.3295,290
738.4317,287
739.5337,283
740.6354,281
741.7369,280
742.8381,281
743.9391,279
745.0399,284
746.1404,286
747.2407,282
748.3408,284
749.4407,283
750.5403,283
751.6396,288
752.7388,282
753.8378,287
754.9365,283
756.0349,285
757.1331,284
758.2311,283
759.3289,285
760.4264,288
761.5237,284
762.6207,281
763.7176,280
764.8141,282
765.9105,284
767.0067,289
768.1025,290
769.1982,289
770.2937,295
771.3889,290
772.4839,299
773.5786,313
774.6731,327
775.7674,333
776.8615,323.5
777.9553,314
779.0489,310
780.1422,300
781.2354,288
782.3282,287
783.4209,283
784.5134,289
785.6055,286
