TITLE,G1-1
DATA TYPE,RAMAN SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,25/03/17
TIME,13:28:06
SPECTROMETER/DATA SYSTEM,
LOCALE,1041
XUNITS,1/CM
YUNITS,INTENSITY
FIRSTX,  545.3755
LASTX, 1597.6329
NPOINTS,    1024
XYDATA
545.3755,310
546.5185,316
547.6613,307
548.8037,311
549.9459,310
551.0880,316
552.2297,317
553.3712,316
554.5125,314
555.6534,314
556.7943,308
557.9348,309
559.0750,309
560.2151,310
561.3549,307
562.4944,306
563.6337,308
564.7728,298
565.9117,308
567.0502,308
568.1886,309
569.3267,304
570.4645,306
571.6022,306
572.7395,308
573.8766,313
575.0135,305
576.1502,305
577.2866,306
578.4227,309
579.5587,308
580.6943,308
581.8298,303
582.9650,306
584.0999,303
585.2346,303
586.3691,307
587.5033,307
588.6373,305
589.7711,303
590.9045,309
592.0378,307
593.1708,308
594.3036,311
595.4362,302
596.5684,306
597.7005,299
598.8323,304
599.9639,305
601.0952,301
602.2263,298
603.3571,302
604.4877,305
605.6181,310
606.7482,306
607.8781,305
609.0078,306
610.1372,302
611.2664,307
612.3953,301
613.5239,304
614.6524,303
615.7806,300
616.9086,306
618.0363,307
619.1638,300
620.2910,299
621.4180,303
622.5448,300
623.6713,297
624.7976,305
625.9236,302
627.0494,304
628.1750,305
629.3004,299
630.4254,305
631.5503,300
632.6749,302
633.7993,304
634.9234,305
636.0473,301
637.1710,301
638.2944,303
639.4175,306
640.5405,307
641.6632,315
642.7856,305
643.9079,314
645.0298,318
646.1516,314
647.2731,314
648.3944,313
649.5154,309
650.6362,313
651.7568,308
652.8771,312
653.9971,311
655.1170,307
656.2366,307
657.3560,308
658.4751,305
659.5940,307
660.7126,301
661.8311,305
662.9492,306
664.0672,303
665.1849,308
666.3024,307
667.4196,313
668.5366,307
669.6533,308
670.7698,314
671.8861,308
673.0021,311
674.1180,305
675.2335,300
676.3489,305
677.4640,296
678.5789,299
679.6935,304
680.8079,293
681.9220,293
683.0359,292
684.1496,298
685.2631,293
686.3762,294
687.4892,294
688.6019,289
689.7144,290
690.8267,292
691.9387,293
693.0505,287
694.1620,295
695.2734,287
696.3845,291
697.4953,290
698.6060,286
699.7163,292
700.8265,288
701.9363,291
703.0460,291
704.1555,292
705.2647,285
706.3737,284
707.4824,284
708.5909,284
709.6992,284
710.8072,284
711.9150,284
713.0225,283
714.1298,288
715.2369,282
716.3438,285
717.4504,285
718.5568,287
719.6630,287
720.7689,287
721.8745,280
722.9800,285
724.0852,279
725.1902,286
726.2949,288
727.3994,285
728.5037,283
729.6078,283
730.7115,277
731.8151,276
732.9185,285
734.0216,286
735.1245,288
736.2271,283
737.3295,279
738.4317,281
739.5337,281
740.6354,277
741.7369,283
742.8381,283
743.9391,285
745.0399,280
746.1404,283
747.2407,281
748.3408,282
749.4407,281
750.5403,284
751.6396,285
752.7388,285
753.8378,289
754.9365,288
756.0349,282
757.1331,278
758.2311,282
759.3289,287
760.4264,287
761.5237,288
762.6207,282
763.7176,285
764.8141,288
765.9105,290
767.0067,286
768.1025,288
769.1982,291
770.2937,290
771.3889,287
772.4839,295
773.5786,304.5
774.6731,314
775.7674,313
776.8615,313
777.9553,305
779.0489,300
780.1422,292
781.2354,291
782.3282,290
783.4209,289
784.5134,286
785.6055,280
