TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	26/02/12
TIME	12:23:00
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-730, Rev. 1.00
RESOLUTION	
DELTAX	-0.5
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	1000
LASTX	500
NPOINTS	1001
FIRSTY	-0.0983645
MAXY	-0.0445364
MINY	-0.0983645
XYDATA
1000	-0.0983645
999.5	-0.098332
999	-0.0982952
998.5	-0.0982587
998	-0.0982298
997.5	-0.0982017
997	-0.0981661
996.5	-0.098126
996	-0.098102
995.5	-0.0980716
995	-0.098035
994.5	-0.0980017
994	-0.0979689
993.5	-0.0979327
993	-0.0978963
992.5	-0.0978569
992	-0.0978206
991.5	-0.0977825
991	-0.0977556
990.5	-0.0977291
990	-0.0977019
989.5	-0.0976706
989	-0.0976398
988.5	-0.0976124
988	-0.0975824
987.5	-0.0975475
987	-0.097516
986.5	-0.0974862
986	-0.097456
985.5	-0.0974207
985	-0.0973876
984.5	-0.097359
984	-0.0973289
983.5	-0.0972968
983	-0.0972626
982.5	-0.0972357
982	-0.0972053
981.5	-0.0971777
981	-0.0971462
980.5	-0.0971114
980	-0.0970749
979.5	-0.0970532
979	-0.0970237
978.5	-0.0969959
978	-0.0969517
977.5	-0.0969209
977	-0.0968968
976.5	-0.0968784
976	-0.0968507
975.5	-0.0968211
975	-0.0967876
974.5	-0.0967603
974	-0.0967279
973.5	-0.0966997
973	-0.0966676
972.5	-0.0966397
972	-0.0966064
971.5	-0.0965804
971	-0.0965537
970.5	-0.0965296
970	-0.0964968
969.5	-0.0964663
969	-0.0964248
968.5	-0.0963899
968	-0.0963629
967.5	-0.0963399
967	-0.0963168
966.5	-0.0962896
966	-0.0962585
965.5	-0.0962271
965	-0.0961908
964.5	-0.0961619
964	-0.0961239
963.5	-0.0960853
963	-0.0960564
962.5	-0.0960241
962	-0.096004
961.5	-0.0959804
961	-0.0959524
960.5	-0.0959226
960	-0.0958875
959.5	-0.095858
959	-0.095828
958.5	-0.0957983
958	-0.0957656
957.5	-0.0957346
957	-0.0957044
956.5	-0.095678
956	-0.0956352
955.5	-0.0955998
955	-0.0955684
954.5	-0.0955366
954	-0.095507
953.5	-0.0954679
953	-0.095434
952.5	-0.0954001
952	-0.0953739
951.5	-0.0953473
951	-0.0953206
950.5	-0.0953004
950	-0.0952685
949.5	-0.0952412
949	-0.0951953
948.5	-0.0951634
948	-0.0951261
947.5	-0.0950982
947	-0.0950625
946.5	-0.0950361
946	-0.0950059
945.5	-0.0949752
945	-0.0949377
944.5	-0.0949046
944	-0.0948756
943.5	-0.0948462
943	-0.0948293
942.5	-0.0948012
942	-0.0947701
941.5	-0.094746
941	-0.0947166
940.5	-0.0946947
940	-0.0946655
939.5	-0.0946443
939	-0.0946101
938.5	-0.0945834
938	-0.0945659
937.5	-0.094547
937	-0.0945286
936.5	-0.0944986
936	-0.0944785
935.5	-0.0944511
935	-0.0944316
934.5	-0.0944054
934	-0.0943919
933.5	-0.094372
933	-0.0943558
932.5	-0.0943204
932	-0.0942871
931.5	-0.0942582
931	-0.0942426
930.5	-0.0942135
930	-0.0941845
929.5	-0.0941501
929	-0.0941156
928.5	-0.0940943
928	-0.0940561
927.5	-0.0940295
927	-0.0940003
926.5	-0.0939753
926	-0.0939442
925.5	-0.0939071
925	-0.0938872
924.5	-0.0938592
924	-0.0938309
923.5	-0.0937936
923	-0.0937595
922.5	-0.0937284
922	-0.0936942
921.5	-0.0936577
921	-0.0936183
920.5	-0.0935928
920	-0.093557
919.5	-0.0935304
919	-0.0935026
918.5	-0.0934685
918	-0.0934354
917.5	-0.093406
917	-0.093371
916.5	-0.0933352
916	-0.0932965
915.5	-0.0932574
915	-0.093231
914.5	-0.093204
914	-0.093176
913.5	-0.0931396
913	-0.0930967
912.5	-0.0930635
912	-0.0930318
911.5	-0.0929984
911	-0.0929596
910.5	-0.0929245
910	-0.0928858
909.5	-0.092849
909	-0.0928021
908.5	-0.092774
908	-0.0927333
907.5	-0.0927005
907	-0.0926621
906.5	-0.0926258
906	-0.0925895
905.5	-0.0925537
